Lemma,Count
abc,5
adp,2
aid,1
alza,1
amc,1
anderson,1
anecdote,1
aol,2
apple,3
arbitrary,1
arm,3
ascension,1
at,1
at&t,24
at&t,2
august,2
aaron,1
abdulfattah,1
abys,1
academic,1
academy,2
accelerator,1
accenture,1
accounts—–,1
adam,4
admired,1
adobe,11
advanced,2
adventure,1
adventure,1
affair,1
age,3
agent,1
ahwahnee,2
air,2
airline,1
airport,5
akio,2
al,1
alabama,2
aladdin,2
alamo,1
alan,2
albert,2
albuquerque,2
alessi,1
alexander,1
alien,1
allah,15
allen,4
allison,4
alpine,1
alsop,1
alta,1
altair,8
alto,39
alto,4
alvy,6
amantea,1
amazon,4
amblin,1
amelia,1
amelio,84
america,11
american,5
american,1
ame,3
amsterdam,2
anatomy,1
andersen,1
anderson,64
andre,1
andrea,1
andrea,1
andreessen,5
andrew,5
andrew,1
android,7
andy,22
angele,5
animated,1
animation,16
ann,2
annie,1
anniversary,1
annual,2
ansel,4
anza,3
apollo,2
app,5
apple,1125
apple.com,1
appleseed,1
applied,1
april,37
aravind,1
architect,1
area,8
arkansa,1
army,1
art,4
arthur,3
artificial,1
art,5
asia,2
asshole,2
associate,2
asu,1
atari,7
atkinson,6
attila,1
audio,1
auditorium,1
august,15
australia,1
autobiography,1
avenger,1
avenue,3
avie,60
award,1
award,2
,3
,3
basic,6
bmg,1
bmw,1
bsd,1
bunch”—an,1
buzz,2
baba,2
bach,2
baez,2
baldrige,1
ballmer,2
baloney,1
baltimore,1
band,2
bandley,1
bangladesh,1
bank,2
bar,1
barboza,1
barne,35
barnum,4
barry,2
ba,5
basic,1
bas,1
bastard,2
bay,12
be,1
bebox,2
beo,4
beach,4
bear,1
beast,2
beatle,9
beauty,2
bedel,1
beethoven,1
beijing,1
bel,1
bell,5
belleville,2
benz,1
berg,2
berkeley,1
berlin,1
best,6
bicycle,1
big,6
bill,134
billion,1
bird,1
birkenstock,1
birthday,1
blackberry,2
blade,1
blind,2
blue,7
board,1
bob,20
bondi,3
bono,2
boom,1
boone,1
bose,1
boston,6
boulevard,3
bower,1
bowl,5
box,1
boy,1
boy,1
bozo,2
brad,1
bradsher,1
brain,2
brand,2
braun,1
brave,1
braverman,4
breakdown,2
breakthrough,2
brennan,3
brent,10
brenton,1
brian,1
bricklin,1
bridge,4
brilliant,30
brin,2
brit,3
bro,2
broadcast,1
brook,1
brother,2
brown,1
bud,8
budapest,1
buddha,1
buddhism,5
buddhist,3
buddhist,1
buena,1
buffalo,1
buffett,1
buffy,1
building,2
bullshit,1
burbank,6
bureau,2
burger,1
burke,1
burkhead,1
burrell,2
burrough,4
burton,1
bush,1
bushnell,6
