Lemma,Count
abc,1
at&t,4
abdulfattah,1
academy,1
action,1
africa,1
air,1
airplane,2
akio,1
al,2
albert,3
albuquerque,1
alcorn,6
alice,4
alike,1
allen,6
alpert,2
altair,5
alto,9
alto,4
alvy,2
amazon,2
amelia,1
amelio,12
america,11
american,1
american,1
andrea,1
andy,2
angele,5
animation,2
app,2
apple,444
apple,1
apple,1
april,8
aretha,1
arnold,2
art,1
art,2
ashbury,1
atari,20
atlantic,1
attribution,1
august,3
autobiography,1
avenue,1
award,1
aware,1
azoff,1
,2
basic,9
best,1
bmw,1
bach,3
baez,2
balance,1
bar,1
bardeen,1
beast,1
beatle,1
beatle,9
beauty,1
beetle,1
beginner,1
bell,1
ben,1
benjamin,1
benz,2
berkeley,6
berner,3
best,1
betsy,1
bicycle,1
big,1
bill,20
black,1
blackberry,1
blade,1
blue,1
bob,7
bono,2
bos,1
boston,2
boulder,1
bowl,4
boy,2
branden,1
brattain,1
breakout,3
brenann,1
brenann,19
brent,2
britain,1
brother,2
buck,2
bucke,1
bud,1
buddhism,2
buddy,1
bug,1
bunny,1
burger,1
bushnell,8
busines,4
businessweek,2
buzz,5
byte,2
,2
ceo,9
cern,1
calculator,1
california,12
cambridge,1
campbell,1
canon,2
captain,2
cap’n,1
carlton,2
carnegie,1
car,2
cash,4
casper,1
catalog,1
catmull,4
center,4
challenge,1
cheese,1
chelsea,1
cherokee,1
chevrolet,1
chicago,3
chief,1
china,1
chino,3
chip,1
chri,4
chrisann,8
christma,2
chuck,1
chögyam,2
cingular,1
city,2
clara,12
clark,1
clinton,1
club,3
coast,4
coke,1
cola,1
college,7
colonial,1
colorado,1
commission,2
commodore,3
common,1
communication,1
company,5
computer,20
concerto,1
conference,1
congres,1
consciousnes,1
construction,1
convention,1
cook,6
copland,1
corner,1
corning,6
corporation,5
corp,5
corvette,1
cosmic,1
county,1
cream,3
creative,1
cromemco,1
crow,1
cruise,2
crunch,3
cube,3
cue,1
cuisinart,1
cunningham,1
cupertino,5
dna,1
dram,2
daniel,5
darth,1
das,2
davidoff,1
day,3
dead,1
dean,1
decade,1
december,6
delhi,1
dell,4
demerol,1
democratic,1
design,2
diane,1
dick,1
diet,3
differently,1
digital,2
dip,1
director,1
disney,25
disneyland,3
doh,1
don,2
donovan,1
dr,1
draper,1
dre,1
drexler,2
dylan,11
,1
,1
ef,1
eagle,1
earhart,1
earth,1
east,2
eastern,1
economist,1
ed,3
eddy,1
edison,4
edmund,1
education,1
edwin,2
egan,2
ehret,2
einstein,3
eisner,2
electronic,1
electronic,2
elementary,1
ella,1
ellison,2
elvi,2
emmy,1
english,2
entrepreneur,1
equipment,1
erin,4
espinosa,6
esquire,2
eureka,1
europe,2
european,1
eve,3
even,1
everything,1
excel,2
exchange,2
executek,1
explorer,1
explorer,1
eyed,1
ff,1
forward,1
fadell,1
fairchild,1
farm,3
fasting,1
february,5
feeling,1
fernanda,2
fernandez,10
fi,1
fiat,3
fifth,1
financially,1
finding,4
firewire,1
fitzgerald,1
forbe,2
ford,5
forstall,1
fortune,17
foundation,1
france,1
francisco,8
franklin,2
friedland,10
friendly,1
frito,1
frustrated,1
fry,3
,2
game,1
gui,1
gap,1
garfunkel,1
gate,39
gato,1
geneva,2
geniu,1
george,4
germany,4
ghost,1
giant,1
gil,2
ginsberg,1
gizmodo,3
gladwell,2
glas,2
glendale,1
god,9
goldman,1
gorilla,1
graham,1
gran,1
grateful,1
great,1
green,1
greta,1
guard,1
gulfstream,1
guy,1
,4
,1
html,1
http,1
haight,1
hal,1
hall,1
hallmark,1
hank,1
hare,1
harrison,1
harvard,4
hatter,1
hawaii,4
hawaiian,1
hawkin,1
head,1
healing,1
heathkit,1
heathkit,2
hendrix,1
henry,6
henson,1
hertzfeld,6
hewlett,19
high,4
hill,6
hillary,1
hindu,1
hippie,1
ho,1
hollywood,1
homebrew,2
homer,1
homestead,5
honda,1
hong,1
honta,1
hovey,4
hypertext,2
,247
ibm,22
ii,37
ii,9
ii,4
imsai,1
icon,1
iger,1
iliad,1
imogene,1
inc,7
incorporated,1
incredible,1
india,4
infinite,1
initially,3
innovation,1
inspired,1
institute,1
instrument,1
intel,9
interface,1
international,2
internet,1
irving,1
isaacson,16
issey,1
job,1
jackling,1
jagger,1
jandali,6
jani,1
january,12
japan,3
jedi,1
jeep,1
jef,1
jefferson,2
jennifer,1
jerk,1
jerry,1
jersey,1
jim,2
jimi,1
joan,2
joanne,5
job,1
job,733
joe,2
john,18
johnny,4
johnson,3
jon,1
jonathan,2
joni,1
jony,4
joplin,1
jose,3
journal,5
jr,3
july,5
june,9
jungle,2
keaton,1
kelley,1
ken,1
kennedy,1
kentucky,2
kerwin,1
kesey,1
kid,1
kindle,1
king,6
kissinger,2
knight,1
kobun,2
kong,1
kottke,14
krishna,1
kyoto,1
lego,1
lsd,5
laboratory,1
lab,1
land,7
lang,3
language,1
lappé,1
larry,3
lasseter,13
laurene,9
lay,1
leary,1
lee,3
legacy,1
lennon,3
letter,1
levi,1
levy,6
life,1
lightyear,2
lin,1
lion,2
lisa,38
listerine,1
little,2
locater,1
lockheed,1
loma,1
london,1
loop,1
lo,10
luca,3
luke,1
luther,2
lutheran,1
luxo,1
menu,1
ma,3
mac,33
macbook,2
machine,1
machine,2
macintosh,50
mac,3
macworld,9
macy,1
mad,1
magazine,1
malcolm,1
man,1
maniac,1
march,7
markkula,24
markoff,1
markup,1
martha,1
martin,2
marty,1
mateo,2
materialism,1
matrix,1
maurice,1
may,4
may,1
maya,1
mayer,1
mclean,1
meal,1
medal,1
mediterranean,1
melinda,1
mellon,1
memorial,1
memphi,3
menlo,1
mercede,3
mermaid,1
mexico,1
michael,3
mick,1
mickey,1
microsoft,41
miele,1
mike,14
millard,1
mind,2
mini,1
mitchell,1
miyake,1
mobileme,2
moby,1
model,1
mona,14
monday,1
money,1
monster,3
monta,1
moore,1
more,3
morgan,1
morita,2
moritz,1
morri,2
most,3
motor,1
motorola,3
mountain,1
mr,1
mrs,5
mucusles,1
music,1
nasa,1
nano,1
napster,1
national,3
navy,1
next,24
neighbour,1
nemo,4
netscape,1
new,18
newsweek,3
newton,3
next,5
nicole,1
nike,1
nixon,1
nocera,1
nolan,2
nonissue,1
november,3
oh,3
oaf,1
october,6
odyssey,1
one,2
online,1
ono,2
onstage,1
oracle,1
oregon,7
orwell,1
oscar,1
oscar,1
oz,1
,1
,1
parc,1
pb,1
pc,2
pta,1
pablo,1
packard,15
palo,9
pamela,1
paramahansa,1
pari,1
park,2
particle,1
patrick,1
patty,6
paul,19
pea,1
peloponnesian,1
pennsylvania,2
pentagon,1
people,8
pepsi,4
perot,4
personal,1
phd,1
philip,1
physic,1
picasso,2
piece,1
ping,2
pixar,60
planet,2
pocahonta,1
pod,1
polaroid,4
pong,4
ponging,1
popular,1
porsche,1
portland,2
potato,1
powell,24
power,2
president,4
prize,2
pro,1
processor,1
protocol,1
prussian,1
pulitzer,2
pyrex,1
ram,2
reset,1
ret,4
return,1
rokr,1
run,1
rabbit,1
raccoon,1
radioshack,3
raider,1
ram,2
rancho,1
rand,3
raskin,6
rational,1
ravi,1
ray,2
reading,1
reagan,1
redse,3
redskin,1
reed,19
regular,1
rescuer,1
research,1
resource,1
reverend,2
review,1
revival,1
rich,1
richard,6
ridley,1
rob,1
robert,4
rocky,1
roll,1
rolling,3
roman,1
ron,4
ronald,1
rosen,1
rosenbaum,1
ros,3
roundrect,1
rubinstein,2
runner,1
russia,1
,1
sec,2
second,1
sram,1
suck,1
swab,1
sach,1
sacramento,2
san,13
santa,2
saturday,1
saver,1
scandal,1
schieble,4
schiller,1
schlender,5
school,5
scientific,1
scott,21
scotty,2
scout,2
sculley,35
sean,1
seattle,1
second,1
securitie,2
seed,1
semiconductor,1
senate,1
september,8
set,1
shaffer,1
shakespeare,2
share,1
sheryl,1
shockley,1
shop,2
shuffle,1
shunryu,1
siberia,1
siena,1
silicon,9
siliwood,2
simon,1
simpson,9
skywalker,1
small,1
smith,2
soda,3
sony,4
soundjam,1
space,1
spanish,1
spiritual,1
st,1
stanford,22
stanley,1
star,4
state,1
stephen,1
steve,112
steven,4
steve,2
stock,1
stone,2
stone,1
