Lemma,Count
a&m,2
a&r,2
abc,6
aid,1
aol,7
ap,1
apple,3
apple)red,2
arm,4
at&t,3
atari,1
atm,1
att,1
aaron,1
abandon,1
abarth,1
abbey,1
abdulfattah,8
academy,3
accelerator,2
acces,1
acid,1
act,4
adam,3
adam,7
added,1
adele,2
adobe,28
adoption,1
advertising,1
advisor,2
advisory,1
advocate,2
aesop,1
aesthetic,1
afghanistan,1
africa,1
afterward,1
age,3
agency,1
age,1
agnelli,1
aguilera,1
agu,2
ahab,1
ahwahnee,4
aid,2
air,2
airport,2
airborne,1
airplane,3
airport,1
aker,4
akio,1
akon,1
al,18
alabama,2
aladdin,1
alain,2
alan,5
ala,1
albert,2
alcorn,23
alex,2
alexander,3
ali,1
alice,5
alicia,1
alinsangan,1
all,2
allchin,1
allen,12
alley,1
alpert,1
alp,8
altair,10
alto,77
alto,12
alvy,10
amazon,10
ambassador,1
amelia,1
amelio,140
america,16
american,3
american,1
ame,14
ana,1
anderson,10
andrea,4
andrew,4
android,26
andy,55
angele,18
angelou,1
animal,1
animation,3
ann,3
annie,1
ansel,3
ansen,1
ant,1
antennagate,2
antz,9
anza,7
apollo,1
apostle,1
app,10
appalachia,1
appel,3
apple,1153
applelab,6
april,20
architectural,1
ardmore,1
area,2
aretha,1
ariel,1
arkansa,1
armageddon,1
armenia,1
armonk,3
arnold,3
art,15
arthur,20
artist,3
art,6
asia,1
aspen,7
asperger,1
associated,1
associate,2
atari,30
athen,1
atkinson,67
atlantic,2
atomic,1
auburn,1
auditorium,3
augmentation,1
august,19
auletta,1
auschwitz,1
austin,1
australia,2
autobiography,3
avenue,4
avie,10
avon,2
award,3
away,1
axe,1
axelrod,2
,2
b.b,1
b.c,1
basic,12
battle,1
bbdo,1
bmg,1
bmw,3
baba,6
baby,1
bach,9
backstage,1
bad,1
badu,1
baez,26
ballmer,4
baloney,1
band,5
bandley,6
bang,1
bank,3
baptist,1
bar,2
barb,1
barbara,3
barbera,1
barn,2
barne,4
barnicle,1
barrett,1
barry,1
bar,1
bart,1
bartz,1
baseball,1
basel,1
bashford,2
batman,1
battle,1
battle,1
bauer,2
bauhau,8
baum,7
bavaria,1
bavarian,1
bay,6
bayer,3
be,5
beach,4
bear,2
beast,2
beatle,1
beatle,32
beat,1
beauty,1
beck,1
beechcraft,1
beethoven,2
beetle,1
beginner,2
beirut,1
believer,1
bell,3
belleville,18
bellini,1
ben,4
benedictine,1
benjamin,1
berg,4
berkeley,17
berlin,1
bernardo,1
berry,1
bertelsmann,1
bertolucci,1
betrayal,1
bewke,6
bezo,1
biafra,1
bible,1
bicycle,1
big,7
bill,93
billboard,2
birthday,1
black,4
blackberry,1
blade,2
blanc,1
blast,1
blis,1
bloomberg,2
bloomfield,1
bloomingdale,1
blue,19
blue,1
board,6
bob,31
bobby,1
boca,2
bogotá,1
bohlin,2
bohr,1
boich,1
boing,2
bomb,1
bono,45
book,2
boomtown,1
boot,1
boston,9
boulevard,2
bourke,1
bourne,1
bowdoin,1
bower,3
bowie,1
bowl,5
box,13
boxe,2
boy,2
boy,1
brahmin,1
brahm,1
brain,1
brand,6
brandenburg,2
braun,6
brautigan,1
breaking,1
breakout,2
brennan,46
brent,4
brian,1
bridge,3
brightest,1
brilliant,7
brin,2
bristol,1
brit,3
broad,3
broadway,2
bronx,1
brooklyn,1
brother,10
brother,1
brown,11
bruce,5
bryar,2
buck,2
buckhout,1
buckminster,1
bud,5
buddhism,10
buddy,1
buffalo,1
buffett,1
building,2
bullshit,2
bully,1
bumiller,1
burbank,3
burge,2
burlesque,2
burn,1
burrell,15
burrough,1
burton,1
bush,6
bushnell,19
busines,15
buyer,1
buzz,12
bye,2
byron,1
